respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,congenial,response_probe,question,condition,correct
110,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,1
110,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,1.0,aca2,mc,1
110,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,1
110,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,1.0,dt,mc,1
111,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
111,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
111,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,1
111,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,0.0,dt,mc,0
113,0.0,0.0,1.0,,,,open,,,aca,mc,1
113,0.0,0.0,1.0,,,,open,,1.0,aca2,mc,1
113,0.0,0.0,1.0,,,,open,,,gg,mc,0
113,0.0,0.0,1.0,,,,open,,0.0,dt,mc,0
114,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
114,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
114,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,1
114,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,1.0,dt,mc,1
115,0.0,0.0,1.0,,,,closed,,,aca,mc,1
115,0.0,0.0,1.0,,,,closed,,1.0,aca2,mc,1
115,0.0,0.0,1.0,,,,closed,,,gg,mc,0
115,0.0,0.0,1.0,,,,closed,,1.0,dt,mc,1
117,0.0,0.0,1.0,,,,closed,,,aca,mc,1
117,0.0,0.0,1.0,,,,closed,,1.0,aca2,mc,1
117,0.0,0.0,1.0,,,,closed,,,gg,mc,1
117,0.0,0.0,1.0,,,,closed,,1.0,dt,mc,1
121,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,1
121,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,1.0,aca2,mc,1
121,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
121,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
125,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,0
125,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,0.0,aca2,mc,0
125,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,1
125,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,1.0,dt,mc,1
126,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,aca,mc,1
126,1.0,0.0,0.0,,1.0,0.0,closed,1.0,0.0,aca2,mc,0
126,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,gg,mc,1
