respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,questions,responses,congenial,response_probe
104,0,1,0,0,0,1,closed,aca_correct,0,0,NA
104,0,1,0,0,0,1,closed,aca2_correct,0,0,0
104,0,1,0,0,0,1,closed,gg_correct,0,0,NA
104,0,1,0,0,0,1,closed,dt_correct,0,1,0
106,0,1,0,0,0,1,closed,aca_correct,0,0,NA
106,0,1,0,0,0,1,closed,aca2_correct,0,0,0
106,0,1,0,0,0,1,closed,gg_correct,0,0,NA
106,0,1,0,0,0,1,closed,dt_correct,1,1,1
107,0,0,1,NA,NA,NA,closed,aca_correct,0,NA,NA
107,0,0,1,NA,NA,NA,closed,aca2_correct,0,NA,0
107,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
107,0,0,1,NA,NA,NA,closed,dt_correct,0,NA,0
108,0,0,1,NA,NA,NA,open,aca_correct,0,NA,NA
108,0,0,1,NA,NA,NA,open,aca2_correct,0,NA,0
108,0,0,1,NA,NA,NA,open,gg_correct,0,NA,NA
108,0,0,1,NA,NA,NA,open,dt_correct,0,NA,0
109,0,0,1,NA,NA,NA,open,aca_correct,0,NA,NA
109,0,0,1,NA,NA,NA,open,aca2_correct,0,NA,0
109,0,0,1,NA,NA,NA,open,gg_correct,0,NA,NA
109,0,0,1,NA,NA,NA,open,dt_correct,0,NA,0
110,1,0,0,1,1,0,open,aca_correct,1,1,NA
110,1,0,0,1,1,0,open,aca2_correct,1,1,1
110,1,0,0,1,1,0,open,gg_correct,1,1,NA
110,1,0,0,1,1,0,open,dt_correct,1,0,1
111,1,0,0,1,1,0,closed,aca_correct,0,1,NA
111,1,0,0,1,1,0,closed,aca2_correct,0,1,0
111,1,0,0,1,1,0,closed,gg_correct,1,1,NA
111,1,0,0,1,1,0,closed,dt_correct,0,0,0
113,0,0,1,NA,NA,NA,open,aca_correct,1,NA,NA
113,0,0,1,NA,NA,NA,open,aca2_correct,1,NA,1
113,0,0,1,NA,NA,NA,open,gg_correct,0,NA,NA
113,0,0,1,NA,NA,NA,open,dt_correct,0,NA,0
114,0,1,0,0,0,1,closed,aca_correct,0,0,NA
114,0,1,0,0,0,1,closed,aca2_correct,0,0,0
114,0,1,0,0,0,1,closed,gg_correct,1,0,NA
114,0,1,0,0,0,1,closed,dt_correct,1,1,1
115,0,0,1,NA,NA,NA,closed,aca_correct,1,NA,NA
115,0,0,1,NA,NA,NA,closed,aca2_correct,1,NA,1
115,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
115,0,0,1,NA,NA,NA,closed,dt_correct,1,NA,1
117,0,0,1,NA,NA,NA,closed,aca_correct,1,NA,NA
117,0,0,1,NA,NA,NA,closed,aca2_correct,1,NA,1
117,0,0,1,NA,NA,NA,closed,gg_correct,1,NA,NA
117,0,0,1,NA,NA,NA,closed,dt_correct,1,NA,1
121,1,0,0,1,1,0,closed,aca_correct,1,1,NA
121,1,0,0,1,1,0,closed,aca2_correct,1,1,1
121,1,0,0,1,1,0,closed,gg_correct,0,1,NA
121,1,0,0,1,1,0,closed,dt_correct,1,0,1
125,1,0,0,1,1,0,open,aca_correct,0,1,NA
125,1,0,0,1,1,0,open,aca2_correct,0,1,0
125,1,0,0,1,1,0,open,gg_correct,1,1,NA
125,1,0,0,1,1,0,open,dt_correct,1,0,1
126,1,0,0,NA,1,0,closed,aca_correct,1,1,NA
126,1,0,0,NA,1,0,closed,aca2_correct,0,1,0
126,1,0,0,NA,1,0,closed,gg_correct,1,1,NA
126,1,0,0,NA,1,0,closed,dt_correct,0,0,0
128,1,0,0,1,1,0,closed,aca_correct,0,1,NA
128,1,0,0,1,1,0,closed,aca2_correct,0,1,0
128,1,0,0,1,1,0,closed,gg_correct,0,1,NA
128,1,0,0,1,1,0,closed,dt_correct,1,0,1
129,0,0,1,NA,NA,NA,closed,aca_correct,0,NA,NA
129,0,0,1,NA,NA,NA,closed,aca2_correct,0,NA,0
129,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
129,0,0,1,NA,NA,NA,closed,dt_correct,1,NA,1
130,1,0,0,1,1,0,closed,aca_correct,0,1,NA
130,1,0,0,1,1,0,closed,aca2_correct,0,1,0
130,1,0,0,1,1,0,closed,gg_correct,0,1,NA
130,1,0,0,1,1,0,closed,dt_correct,1,0,1
131,0,1,0,0,0,1,closed,aca_correct,0,0,NA
131,0,1,0,0,0,1,closed,aca2_correct,0,0,0
131,0,1,0,0,0,1,closed,gg_correct,0,0,NA
131,0,1,0,0,0,1,closed,dt_correct,1,1,1
132,1,0,0,NA,1,0,open,aca_correct,1,1,NA
132,1,0,0,NA,1,0,open,aca2_correct,0,1,0
132,1,0,0,NA,1,0,open,gg_correct,1,1,NA
132,1,0,0,NA,1,0,open,dt_correct,1,0,1
138,1,0,0,1,1,0,closed,aca_correct,0,1,NA
138,1,0,0,1,1,0,closed,aca2_correct,0,1,0
138,1,0,0,1,1,0,closed,gg_correct,0,1,NA
138,1,0,0,1,1,0,closed,dt_correct,1,0,1
141,1,0,0,NA,1,0,closed,aca_correct,1,1,NA
141,1,0,0,NA,1,0,closed,aca2_correct,1,1,1
141,1,0,0,NA,1,0,closed,gg_correct,0,1,NA
141,1,0,0,NA,1,0,closed,dt_correct,0,0,0
143,1,0,0,1,1,0,open,aca_correct,0,1,NA
143,1,0,0,1,1,0,open,aca2_correct,1,1,1
143,1,0,0,1,1,0,open,gg_correct,0,1,NA
143,1,0,0,1,1,0,open,dt_correct,1,0,1
144,1,0,0,1,1,0,closed,aca_correct,1,1,NA
144,1,0,0,1,1,0,closed,aca2_correct,0,1,0
144,1,0,0,1,1,0,closed,gg_correct,0,1,NA
144,1,0,0,1,1,0,closed,dt_correct,1,0,1
146,1,0,0,1,1,0,closed,aca_correct,0,1,NA
146,1,0,0,1,1,0,closed,aca2_correct,0,1,0
146,1,0,0,1,1,0,closed,gg_correct,0,1,NA
146,1,0,0,1,1,0,closed,dt_correct,1,0,1
151,0,1,0,0,0,1,closed,aca_correct,0,0,NA
151,0,1,0,0,0,1,closed,aca2_correct,0,0,0
151,0,1,0,0,0,1,closed,gg_correct,0,0,NA
151,0,1,0,0,0,1,closed,dt_correct,1,1,1
152,1,0,0,1,1,0,closed,aca_correct,0,1,NA
152,1,0,0,1,1,0,closed,aca2_correct,1,1,1
152,1,0,0,1,1,0,closed,gg_correct,0,1,NA
152,1,0,0,1,1,0,closed,dt_correct,1,0,1
153,1,0,0,1,1,0,closed,aca_correct,1,1,NA
153,1,0,0,1,1,0,closed,aca2_correct,0,1,0
153,1,0,0,1,1,0,closed,gg_correct,0,1,NA
153,1,0,0,1,1,0,closed,dt_correct,1,0,1
156,1,0,0,1,1,0,closed,aca_correct,1,1,NA
156,1,0,0,1,1,0,closed,aca2_correct,1,1,1
156,1,0,0,1,1,0,closed,gg_correct,0,1,NA
156,1,0,0,1,1,0,closed,dt_correct,1,0,1
158,1,0,0,1,1,0,closed,aca_correct,1,1,NA
158,1,0,0,1,1,0,closed,aca2_correct,1,1,1
158,1,0,0,1,1,0,closed,gg_correct,0,1,NA
158,1,0,0,1,1,0,closed,dt_correct,1,0,1
162,1,0,0,NA,1,0,closed,aca_correct,1,1,NA
162,1,0,0,NA,1,0,closed,aca2_correct,0,1,0
162,1,0,0,NA,1,0,closed,gg_correct,1,1,NA
162,1,0,0,NA,1,0,closed,dt_correct,1,0,1
164,1,0,0,1,1,0,open,aca_correct,0,1,NA
164,1,0,0,1,1,0,open,aca2_correct,0,1,0
164,1,0,0,1,1,0,open,gg_correct,1,1,NA
164,1,0,0,1,1,0,open,dt_correct,1,0,1
167,0,1,0,0,0,1,closed,aca_correct,0,0,NA
167,0,1,0,0,0,1,closed,aca2_correct,0,0,0
167,0,1,0,0,0,1,closed,gg_correct,0,0,NA
167,0,1,0,0,0,1,closed,dt_correct,1,1,1
168,0,1,0,0,0,1,closed,aca_correct,0,0,NA
168,0,1,0,0,0,1,closed,aca2_correct,0,0,0
168,0,1,0,0,0,1,closed,gg_correct,0,0,NA
168,0,1,0,0,0,1,closed,dt_correct,1,1,1
171,0,1,0,0,0,1,closed,aca_correct,0,0,NA
171,0,1,0,0,0,1,closed,aca2_correct,0,0,0
171,0,1,0,0,0,1,closed,gg_correct,1,0,NA
171,0,1,0,0,0,1,closed,dt_correct,1,1,1
172,1,0,0,1,1,0,open,aca_correct,0,1,NA
172,1,0,0,1,1,0,open,aca2_correct,0,1,0
172,1,0,0,1,1,0,open,gg_correct,0,1,NA
172,1,0,0,1,1,0,open,dt_correct,1,0,1
173,0,1,0,0,0,1,closed,aca_correct,1,0,NA
173,0,1,0,0,0,1,closed,aca2_correct,0,0,0
